"Timestamp","What is your Rice Purity Test Score?","What is your sexuality?","What is your sex?","What gender do you identify with?","Are you transgender?","What is your age?","How would you define yourself politically?","Would you consider yourself religious?","How concerned are you about climate change?","Select the drugs below you think should be decriminalized:","Do you think the police service funding should be:","How many times a week do you masturbate?","How often do you have sex in a month?","Would you consider yourself ""sexually free""?","Would you describe yourself as a kinky person?","Do you think your parents be disappointed in you if they knew the details of your sex life?","How scared are you of catching STDs/STIs?","How scared are you of having/causing an unwanted pregnancy?","What is the highest education level you have completed OR are currently pursuing?","How many years have you lived apart from your parents?","What is your annual income?","Would you say you are a(n):","Would you consider yourself a healthy person?"
"2020/11/15 6:05:00 PM CST","28","Homosexual","Male","Male","","20","Liberal","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","7 - 10","15 - 25 times","Yes","Yes","Yes","Very scared","Not Applicable","Bachelor's Degree (4 year)","1 - 2","$10,001 - $30,000","Introvert","Yes"
"2020/11/15 6:24:00 PM CST","26","Heterosexual","Female","Female","","36","Liberal","No","Very concerned","Marijuana;Psychedelics","Abolished","2 - 4","1 - 2 times","No","No","Yes","A little scared","Absolutely terrified","Bachelor's Degree (4 year)","10+","$30,001 - $50,000","Introvert","Maybe"
"2020/11/15 6:24:57 PM CST","36","Bisexual","Male","Male","","19","Liberal","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","5 - 7","9 - 15 times","Yes","Yes","Yes","Very scared","Absolutely terrified","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/15 6:25:14 PM CST","26","Heterosexual","Female","Female","","23","Liberal","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Increased","1","3 - 8 times","Yes","Yes","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","3 - 5","$50,001 - $80,000","Introvert","Yes"
"2020/11/15 6:30:21 PM CST","46","Heterosexual","Male","Male","","18","Liberal","No","Decently concerned","Marijuana;Psychedelics","Left the way it is","2 - 4","9 - 15 times","Maybe","Yes","No","Not at all scared","A little scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/15 6:30:55 PM CST","41","Bisexual","Male","Male","","19","Liberal","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","10+","9 - 15 times","Maybe","Yes","No","A little scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Maybe"
"2020/11/15 6:38:51 PM CST","97","Bisexual","Male","Male","","20","Liberal","Yes","Decently concerned","Marijuana","Lessened","0","I have never had sex","No","No","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/15 6:40:16 PM CST","49","Bisexual","Female","Male","","22","Far-left, not liberal","No","Very concerned","Marijuana","Lessened","1","1 - 2 times","No","No","I don't know","A little scared","Not Applicable","Master's Degree","1 - 2","$0 - $10,000","Extrovert","Yes"
"2020/11/15 6:42:16 PM CST","33","Heterosexual","Male","Male","","18","Liberal","Maybe","Decently concerned","Marijuana;Psychedelics","Lessened","7 - 10","3 - 8 times","Yes","Yes","No","Decently scared","Decently scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Extrovert","Yes"
"2020/11/15 6:44:15 PM CST","90","Heterosexual","Male","Male","","18","Liberal","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Increased","2 - 4","I have never had sex","Yes","No","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
