Timestamp,What is your Rice Purity Test Score?,What is your sexuality?,What is your sex?,What gender do you identify with?,Are you transgender?,What is your age?,How would you define yourself politically?,Would you consider yourself religious?,How concerned are you about climate change?,Select the drugs below you think should be decriminalized:,Do you think the police service funding should be:,How many times a week do you masturbate?,How often do you have sex in a month?,"Would you consider yourself ""sexually free""?",Would you describe yourself as a kinky person?,Do you think your parents be disappointed in you if they knew the details of your sex life?,How scared are you of catching STDs/STIs?,How scared are you of having/causing an unwanted pregnancy?,What is the highest education level you have completed OR are currently pursuing?,How many years have you lived apart from your parents?,What is your annual income?,Would you say you are a(n):,Would you consider yourself a healthy person?
11/15/2020 18:05:01,28,Homosexual,Male,Male,,20,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,7 - 10,15 - 25 times,Yes,Yes,Yes,Very scared,Not Applicable,Bachelor's Degree (4 year),1 - 2,"$10,001 - $30,000",Introvert,Yes
11/15/2020 18:24:00,26,Heterosexual,Female,Female,,36,Liberal,No,Very concerned,"Marijuana, Psychedelics",Abolished,2 - 4,1 - 2 times,No,No,Yes,A little scared,Absolutely terrified,Bachelor's Degree (4 year),10+,"$30,001 - $50,000",Introvert,Maybe
11/15/2020 18:24:57,36,Bisexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,5 - 7,9 - 15 times,Yes,Yes,Yes,Very scared,Absolutely terrified,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 18:25:15,26,Heterosexual,Female,Female,,23,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Increased,1,3 - 8 times,Yes,Yes,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),3 - 5,"$50,001 - $80,000",Introvert,Yes
11/15/2020 18:30:22,46,Heterosexual,Male,Male,,18,Liberal,No,Decently concerned,"Marijuana, Psychedelics",Left the way it is,2 - 4,9 - 15 times,Maybe,Yes,No,Not at all scared,A little scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 18:30:56,41,Bisexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,10+,9 - 15 times,Maybe,Yes,No,A little scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Maybe
11/15/2020 18:38:51,97,Bisexual,Male,Male,,20,Liberal,Yes,Decently concerned,Marijuana,Lessened,0,I have never had sex,No,No,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 18:40:17,49,Bisexual,Female,Male,,22,"Far-left, not liberal",No,Very concerned,Marijuana,Lessened,1,1 - 2 times,No,No,I don't know,A little scared,Not Applicable,Master's Degree,1 - 2,"$0 - $10,000",Extrovert,Yes
11/15/2020 18:42:17,33,Heterosexual,Male,Male,,18,Liberal,Maybe,Decently concerned,"Marijuana, Psychedelics",Lessened,7 - 10,3 - 8 times,Yes,Yes,No,Decently scared,Decently scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,Yes
11/15/2020 18:44:16,90,Heterosexual,Male,Male,,18,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Increased,2 - 4,I have never had sex,Yes,No,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 18:51:55,46,Homosexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,10+,1 - 2 times,Maybe,Yes,Yes,Absolutely terrified,Not at all scared,High School / GED Equivalent,1 - 2,"$0 - $10,000",Extrovert,No
11/15/2020 18:52:55,82,Bisexual,Female,Female,,18,Liberal,No,Very concerned,Marijuana,Abolished,1,I have never had sex,Maybe,Yes,Yes,Absolutely terrified,Absolutely terrified,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Extrovert,Maybe
11/15/2020 18:55:20,65,Androsexual,Prefer not to say,Agender,,22,Conservative,Yes,Very concerned,Marijuana,Increased,1,I have never had sex,No,Yes,Yes,Not at all scared,Not at all scared,Trade school,1 - 2,"$0 - $10,000",Extrovert,No
11/15/2020 18:55:40,53,Bisexual,Female,Female,,23,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,7 - 10,3 - 8 times,No,No,No,A little scared,A little scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,Maybe
